Date,Open,High,Low,Close,Volume
2020-01-02,392.86,399.37,390.95,399.37,1258400
2020-01-03,404.02,417.17,403,413.74,2990100
2020-01-06,417.99,417.99,407.69,413.11,2477800
2020-01-07,411.25,416.12,408.29,414.5,1059900
2020-01-08,417.06,418.18,409.72,411.03,1708100
2020-01-09,410.49,416,410,414.93,1064300
2020-01-10,415,415.6,412.48,413.83,987800
2020-01-13,414.94,420.96,414.66,419.02,986800
2020-01-14,417.59,418.27,415.07,416.14,967200
2020-01-15,416.42,421.48,416.14,420.95,833000
2020-01-16,423.13,425.74,420.67,425.7,1085200
2020-01-17,426.61,427.54,424.5,425.66,1195600
2020-01-21,424.42,427.78,423.01,426.15,1071400
2020-01-22,427.5,428.5,424.36,424.42,918700
2020-01-23,424.06,429.56,424,428.78,978400
2020-01-24,429.9,433.52,429.69,432.5,1086700
2020-01-27,425.86,434.45,425.86,432.38,1737900
2020-01-28,434.77,438.99,426.27,437.17,2063200
2020-01-29,437.72,437.99,431.02,433.84,1268500
2020-01-30,430.34,437,430.34,435.9,1210200
2020-01-31,434.93,435.57,426.1,428.12,1650100
2020-02-03,429.52,430,422.04,423.86,1795800
2020-02-04,425.46,431.99,425.46,430.78,1216300
2020-02-05,433.32,435.92,429.02,435.19,1251800
2020-02-06,435.56,439.86,434.91,438.97,833500
2020-02-07,438.14,441.21,437.29,439.17,883800
2020-02-10,439,441.52,437.82,439.76,870400
2020-02-11,441.36,442.53,437.47,439.85,744600
2020-02-12,439.01,439.69,434.6,436.6,1419200
2020-02-13,435.8,439.29,434.3,434.7,800200
2020-02-14,434.98,438.47,434.31,437.85,948600
2020-02-18,437,438.95,434.01,435.55,776100
2020-02-19,437,438.27,434.4,434.48,787200
2020-02-20,433.63,434.99,424.16,425.97,1190600
2020-02-21,425.12,428.72,422.66,427.8,1055500
2020-02-24,419.65,424.2,418.1,419.35,1117800
2020-02-25,420.1,421.73,397.53,400.36,1600100
2020-02-26,400.31,410.52,399.34,400.9,1678000
2020-02-27,393.52,399.01,384.33,384.6,1894100
2020-02-28,369.86,373.82,360.34,369.87,3363800
2020-03-02,371.35,383.1,360.57,381.35,2859900
2020-03-03,384.84,396.9,376.59,377.4,2531400
2020-03-04,385.42,402.96,383.19,402.03,2025800
2020-03-05,393.92,397.85,382.22,384.7,1967200
2020-03-06,372.09,384.95,368.46,382.47,2161000
2020-03-09,359.98,369.47,351.27,352.03,3086700
2020-03-10,363.01,367.67,350.6,367.17,2505600
2020-03-11,356.57,365.89,349.79,356.93,1950800
2020-03-12,322,339.42,310.08,311.38,3892600
2020-03-13,327.33,329.16,303.1,328.59,3877800
2020-03-16,295.01,311.56,285,287.94,2351500
2020-03-17,293,319.47,287.15,318.83,2626200
2020-03-18,296.92,339.23,296.04,333.41,3589400
2020-03-19,333.41,334.1,311.21,314.2,2836700
2020-03-20,314.2,315.84,288.21,291.22,3040100
2020-03-23,285,287.06,266.11,276.8,3172100
2020-03-24,287.97,294.99,280.24,288.91,3088400
2020-03-25,300.62,329.82,293.61,319.67,2950100
2020-03-26,326,352.1,324.01,350.33,2680900
2020-03-27,339.99,365.09,335.01,348.38,3562800
2020-03-30,351.49,356.48,342.28,348.85,1756300
2020-03-31,344.81,346.92,336.24,338.95,2169300
2020-04-01,324.83,340.99,322.01,338.52,2082300
2020-04-02,335.25,354,334.55,353.96,1896200
2020-04-03,352,355.84,349.61,350.5,2113200
2020-04-06,361.91,369.95,361.91,367.95,2525400
2020-04-07,380.5,381.9,354.05,355.28,2101500
2020-04-08,361.37,372.65,358.59,361.41,1447700
2020-04-09,369.74,376.33,363.52,371,1629400
2020-04-13,370.95,373.99,365.71,369.94,1237200
2020-04-14,378.29,386.58,374.55,380.03,1653400
2020-04-15,376.75,376.75,367.36,374.38,1251500
2020-04-16,373.61,381.3,372.5,377.88,1568400
2020-04-17,387.42,402.45,384.83,401.51,1768400
2020-04-20,394.08,399.97,383.21,383.21,1487200
2020-04-21,383.01,392.54,371.01,373.44,2042000
2020-04-22,383.49,383.94,375.33,380.4,1188400
2020-04-23,382.75,384.87,376.19,376.73,1164400
2020-04-24,378.72,384.06,372.98,381.77,1029200
2020-04-27,383.91,384.04,378,378.57,1457400
2020-04-28,381.86,387.83,380.42,384.73,1313900
2020-04-29,388.16,393.51,379.5,387.91,1500400
2020-04-30,383.1,391.44,380.44,389.06,1343300
2020-05-01,385.64,387.41,381.09,383.47,911600
2020-05-04,382.02,382.97,374.13,380.16,1077900
2020-05-05,382.41,392.78,381.59,390.3,1270900
2020-05-06,390.89,390.89,378.41,378.58,1089800
2020-05-07,383.01,384.13,376,376.54,1462000
2020-05-08,378.03,381.13,376.25,378.4,1130400
2020-05-11,375,379.5,374.14,376.56,1287800
2020-05-12,378,382.44,371.03,371.11,1447700
2020-05-13,371.28,372.46,362.01,364.18,1287400
2020-05-14,360.99,361.54,352.26,356.28,1776400
2020-05-15,352.53,361.51,352.32,360.4,1854500
2020-05-18,371.21,380.49,366.02,377.54,1879700
2020-05-19,378.07,382.46,371.24,371.48,1087100
2020-05-20,372.44,374,362.11,362.51,1880500
2020-05-21,362.69,370.03,362.6,368.82,1179100
2020-05-22,369.86,370.16,365.62,369,752600
2020-05-26,376.95,376.95,370.57,372.2,1596100
2020-05-27,376.78,397.12,376.58,397.12,1986900
2020-05-28,401.46,404.26,398.16,398.44,1487900
2020-05-29,396.04,396.24,384.77,388.44,1733800
2020-06-01,388.94,394,387.31,388.96,1090300
2020-06-02,388.64,393.23,386.99,389.77,1404700
2020-06-03,393.65,403.6,392.59,402.63,1382200
2020-06-04,401.78,404.87,399,403.67,1261700
2020-06-05,410,416,406.45,410.75,1702500
2020-06-08,415,417.62,411.75,414.3,1294600
2020-06-09,410.53,411.94,407,408.56,1188400
2020-06-10,406.5,409.1,403.45,403.77,1188200
2020-06-11,392.69,397.31,383.57,383.88,1698800
2020-06-12,393.33,394.43,376.47,381.87,1788100
2020-06-15,373.28,377.15,367.55,373.28,2271300
2020-06-16,386.56,391.79,379.58,382.77,2038600
2020-06-17,382.5,386.24,376.92,382.11,1519000
2020-06-18,379.68,381.32,376.07,378.39,1562000
2020-06-19,383.34,383.59,372,372.2,4322200
2020-06-22,372.26,376.84,370.44,375.96,1370600
2020-06-23,378.25,378.78,371.04,371.7,1469300
2020-06-24,370.9,371.23,358.32,359.82,2302800
2020-06-25,357.86,363.31,353.33,362.82,1391600
2020-06-26,359.56,367.42,355.01,356.76,2008600
2020-06-29,360.39,367.5,359.49,367.5,1073000
2020-06-30,365.35,367.25,362.41,364.92,1482100
2020-07-01,366.34,368.29,360.31,360.42,1430100
2020-07-02,363.53,366.07,360.69,362,1396000
2020-07-06,366.48,367.12,360.84,362.59,1202300
2020-07-07,362.59,362.92,352.78,353.27,1395900
2020-07-08,353.5,357.3,348.63,350.23,1965100
2020-07-09,348,349.49,339.18,339.96,1823800
2020-07-10,342.33,349.33,341.66,349.25,1514200
2020-07-13,353.6,357.02,348.6,353.06,2031300
2020-07-14,349.13,355.92,349,355.66,1651900
2020-07-15,361.64,365.58,360.56,364.56,1617300
2020-07-16,362.3,365.94,359.02,365.88,955400
2020-07-17,366.3,369,362.85,368.5,1135500
2020-07-20,369,369,362.43,365.53,1444500
2020-07-21,377.98,378.9,370.58,375.12,1997300
2020-07-22,376.71,394.67,375.62,394.08,2280700
2020-07-23,393.77,394.15,385.71,387.62,1442800
2020-07-24,388,393.49,383.61,386.21,1305700
2020-07-27,384.73,385.99,380.11,382.09,1047000
2020-07-28,382,390.21,382,386.66,1132100
2020-07-29,389.56,390.47,384.63,387.3,1209600
2020-07-30,382.71,385.84,380.86,381.72,983300
2020-07-31,380.55,381.37,373.68,378.97,1101800
2020-08-03,376.84,378.41,371.44,377.1,923100
2020-08-04,379.08,380.84,376.29,377.99,900600
2020-08-05,380,384.87,378.27,383.5,1018500
2020-08-06,381.78,383.19,378.09,379.74,698500
2020-08-07,380.01,386.66,378.76,385.62,924900
2020-08-10,386.02,391.11,385.96,389.26,856000
2020-08-11,391.51,399.49,391.33,391.96,1312800
2020-08-12,394.02,396.52,391.29,392.44,878500
2020-08-13,390.35,394.05,387,389.24,1053600
2020-08-14,388.64,394.2,388.02,391.42,648600
2020-08-17,393.98,395.19,387.73,388.96,864100
2020-08-18,389.17,391.91,388.34,390.26,806100
2020-08-19,390.08,391.97,388.84,390.05,717400
2020-08-20,388.28,389.2,383.58,387.88,1203700
2020-08-21,387.71,390.79,386.86,389.57,996000
2020-08-24,390.83,395.57,389.9,395.04,1006400
2020-08-25,395.72,402.38,392.4,394.84,987400
2020-08-26,393,397.66,390.56,395.44,908600
2020-08-27,396.84,400.09,394.88,395.02,700300
2020-08-28,395.51,396,391.73,395.59,728300
2020-08-31,392.17,395,388.47,390.26,1030400
2020-09-01,387.82,389.19,385,386.81,908400
2020-09-02,385.15,398.9,384.11,398.07,1214500
2020-09-03,399.5,401.88,383.38,386.29,1500800
2020-09-04,388.51,391.55,379.58,385.02,933600
2020-09-08,383.99,385.29,378.36,380.23,1071600
2020-09-09,382.69,389.42,381.01,385.24,1218300
2020-09-10,386.02,388.53,378.33,379.11,716000
2020-09-11,381.47,390.5,380.75,389.45,933800
2020-09-14,393.37,396.67,391.62,393.75,991000
2020-09-15,395.65,396,386.89,392.55,955700
2020-09-16,391.11,399.6,390.93,395.58,1052200
2020-09-17,392,398.55,389.54,395.94,959500
2020-09-18,394.15,399,394.15,395.14,2636400
2020-09-21,388.5,389.87,377.23,379.61,1447400
2020-09-22,381.88,392.48,381.34,388.42,1286300
2020-09-23,389.23,394.43,381.99,383.24,1223300
2020-09-24,383.25,384.49,375.1,378.76,1295100
2020-09-25,377.45,388.4,376.45,386.7,1375400
2020-09-28,390,396.61,389.65,390.51,980000
2020-09-29,389.61,393.15,387.51,388.74,1113100
2020-09-30,389.47,389.76,380.51,383.28,1410300
2020-10-01,384,390,379,380.89,1103900
2020-10-02,376,383.48,374.28,380.58,1217200
2020-10-05,383.24,385.89,378.86,383.96,825000
2020-10-06,386.03,386.11,376.02,376.46,954900
2020-10-07,378.6,383.84,378.56,382.94,826500
2020-10-08,383.9,389.19,382.28,388.59,694900
2020-10-09,388.41,390.1,385.29,385.93,675000
2020-10-12,386,390.51,383.26,388.92,807400
2020-10-13,386.14,390.56,385.12,388.95,973300
2020-10-14,387.14,395.46,387.14,390.72,1090300
2020-10-15,387.33,388.87,383.22,386.12,792000
2020-10-16,388.49,389.78,386.09,386.5,952100
2020-10-19,387.24,389.6,381.67,383.71,1181000
2020-10-20,382.59,385.79,371.8,372.21,1779200
2020-10-21,372.21,375,365,367.14,1931200
2020-10-22,367.5,371.11,365.15,368.96,1255100
2020-10-23,371.34,376.19,369.01,374.33,1178800
2020-10-26,369.43,369.87,362.5,368.55,1387200
2020-10-27,367,367.98,360.81,362.43,977400
2020-10-28,356.87,360,350.45,350.86,1679900
2020-10-29,350,356.23,348.29,352.44,1548000
2020-10-30,350.64,353.73,345.65,350.13,1309800
2020-11-02,356.12,359.91,350.72,352.42,1707700
2020-11-03,357.13,366.2,356.21,363.44,1484600
2020-11-04,371.07,381.46,369.51,372.16,2146400
2020-11-05,374.55,376.5,363.77,364.7,1709300
2020-11-06,363.3,363.73,357.95,361.27,1401600
2020-11-09,379.6,381.52,363.73,363.95,1956900
2020-11-10,365,373.44,363.94,371.28,1708000
2020-11-11,372.87,373.33,365.68,369.28,1115200
2020-11-12,367.5,370.57,365.51,367.89,856100
2020-11-13,370.57,376,369.23,375.14,921000
2020-11-16,378.05,380.69,376.08,377.13,1306700
2020-11-17,375.66,380.48,375.25,375.9,1321100
2020-11-18,377.49,383.47,376.24,377.56,1066800
2020-11-19,375,377.75,372.17,376.46,1075400
2020-11-20,375.97,377.24,367.62,368.02,1117500
2020-11-23,371.54,374.53,369.86,370.85,929200
2020-11-24,375.28,378.48,373.06,378.48,959000
2020-11-25,377.09,381.95,376.23,378.34,854800
2020-11-27,378.81,378.81,373.45,374.34,612300
2020-11-30,370.79,372.44,363.39,365,1608400
2020-12-01,368.47,373.29,364.87,364.99,1299700
2020-12-02,364.99,365.99,360.01,361.36,2520000
2020-12-03,362.12,369.5,360.96,362.03,1758400
2020-12-04,363.12,367.73,362.11,366.61,1222600
