Date,Open,High,Low,Close,Volume
2019-01-02,185.83,190.82,185.31,189.74,4294000
2019-01-03,187.5,187.51,180.98,181.18,5070900
2019-01-04,184.85,191.25,184.44,189.76,4452900
2019-01-07,190.63,193.02,189.71,191.22,4219200
2019-01-08,189.9,192.49,188.5,192.28,5069700
2019-01-09,194.3,196.55,193.28,195.77,5471500
2019-01-10,193.03,197.24,191.32,196.95,3693600
2019-01-11,196.07,196.7,194.71,195.9,2500100
2019-01-14,194.38,197,194,195.43,3336500
2019-01-15,195.22,197.35,193.1,196.52,3783000
2019-01-16,197.51,198.41,196.5,197.77,3546300
2019-01-17,197.45,200.4,197.1,199.31,2764100
2019-01-18,201.18,202.53,200.02,202,4866600
2019-01-22,199.79,201,197.65,199.46,4457700
2019-01-23,201.05,201.06,196.6,198.35,3086100
2019-01-24,198.42,200.2,197.93,199.79,2792000
2019-01-25,202.19,203.89,199.79,202.94,4677500
2019-01-28,200.74,200.98,198.06,200.16,3277200
2019-01-29,200.19,200.67,197.66,199.24,3661900
2019-01-30,200.42,204.83,199.9,204.02,4079500
2019-01-31,209.8,212.97,208,211.13,11316200
2019-02-01,211.99,214.64,211.2,213.77,6470100
2019-02-04,214.35,214.95,213.2,214.91,4397500
2019-02-05,215,216.7,214.95,215.86,3091500
2019-02-06,215.25,215.9,213.68,215.3,2698000
2019-02-07,213.46,214.45,211.6,213.97,2742900
2019-02-08,212,216.63,212,216.58,3248400
2019-02-11,216.99,218.65,216.34,217.1,2974400
2019-02-12,218.56,219.49,217.64,218.91,3411400
2019-02-13,219.79,221.28,219.44,220.54,2996600
2019-02-14,219.51,220.98,218.62,219.81,2875600
2019-02-15,222.19,222.35,220.48,222.11,2758500
2019-02-19,221.43,221.96,220.36,220.59,2836700
2019-02-20,221.22,221.83,219.4,221.11,3103600
2019-02-21,220.21,221.03,218.62,219.31,3528800
2019-02-22,220,223.63,219.7,223.32,3295300
2019-02-25,225,225.4,223,223.32,3359200
2019-02-26,222.16,225.18,222.05,224,2852300
2019-02-27,223.04,224.61,221.74,224.57,2119500
2019-02-28,224.09,225.6,223.66,224.77,3240400
2019-03-01,226.88,228.15,225.36,227.25,3001400
2019-03-04,227.31,228.5,223.67,226.29,2977700
2019-03-05,226.23,226.92,225.29,226.22,2779100
2019-03-06,225.85,226.51,223.95,224.47,2849300
2019-03-07,223.62,224.44,220.74,222.41,3879600
2019-03-08,218.38,222.19,215.93,221.87,2691800
2019-03-11,222.94,226.13,222.84,225.64,2670100
2019-03-12,226.59,228.2,226.22,226.94,2478700
2019-03-13,228.37,231.33,227.8,228.5,2690400
2019-03-14,228.7,230.21,227.41,229.51,2838700
2019-03-15,228.82,232.76,228.81,231.17,3894200
2019-03-18,232.29,232.5,229.11,230.39,2734100
2019-03-19,231.54,232.1,230.33,231.01,3212000
2019-03-20,229.73,231.94,227.84,229.89,3747400
2019-03-21,228.2,237.08,228.18,235.87,4441100
2019-03-22,234.84,236,230.68,230.76,3709400
2019-03-25,230.39,231.94,228.55,230.42,3506500
2019-03-26,232.96,233.63,231.45,233.29,3046900
2019-03-27,233.92,234.2,229.65,232.52,2640700
2019-03-28,233.42,235.33,232.37,234.86,2712100
2019-03-29,236.49,236.64,233.97,235.45,3453900
2019-04-01,238.3,239.75,236.94,239.05,3475900
2019-04-02,239.23,239.87,238.07,239.26,3386400
2019-04-03,240.28,240.93,237.82,238.93,2911700
2019-04-04,238.7,238.77,233.76,236.06,3096300
2019-04-05,237.21,237.96,236.11,236.63,2590000
2019-04-08,235.72,236.28,233.12,236.27,2714500
2019-04-09,235.29,237.25,235,235.91,2491300
2019-04-10,237,237.95,236.11,237.06,1984200
2019-04-11,238,238,235.04,236.04,1908200
2019-04-12,237.03,239,236.08,238.83,3452100
2019-04-15,239.52,239.86,237.19,239.15,3437500
2019-04-16,240,240.97,238.95,240.09,2564300
2019-04-17,240.67,241.24,238.95,241,2829200
2019-04-18,242.53,242.65,240.46,240.89,3016800
2019-04-22,239.8,243.14,239.07,243.05,2217700
2019-04-23,243.9,244.5,242.45,243.49,3108400
2019-04-24,243.63,246.08,242.81,245.29,3255200
2019-04-25,244.7,246.85,244.02,245.61,3152400
2019-04-26,246.05,247.15,243.22,246.68,3349300
2019-04-29,246.88,248.21,245.86,247.13,3274900
2019-04-30,251.09,257.43,250.51,254.24,7179600
2019-05-01,254.9,256.25,248.67,248.75,5146000
2019-05-02,247.56,248.27,244.28,247.19,4747300
2019-05-03,248.61,249.85,247.46,247.95,3194200
2019-05-06,241.49,249.08,240.05,248.64,3022000
2019-05-07,247.27,247.73,242.6,245.06,4257500
2019-05-08,244.54,247.55,243.75,245.33,3050700
2019-05-09,241.89,245.53,239.96,245.31,3891000
2019-05-10,243.87,248.72,241.33,247.43,2816200
2019-05-13,241.51,243.91,240.36,241.38,4136900
2019-05-14,242.12,247.44,241.9,245.94,3862100
2019-05-15,244.33,251.04,244.21,249.15,4186900
2019-05-16,250.44,255.15,250.33,253.42,4911900
2019-05-17,251.11,254.29,250.84,252.55,3129800
2019-05-20,250.49,254.39,249.33,253.49,2951500
2019-05-21,255,255.95,253.79,255.36,2881600
2019-05-22,254.75,258.86,254.5,256.9,2936000
2019-05-23,254.75,255.7,248.33,249.73,5072500
2019-05-24,253.14,253.37,250.33,251.48,2710800
2019-05-28,252.66,257.76,252.65,253.43,6252100
2019-05-29,252.25,254.25,251.27,253.56,4014300
2019-05-30,254.27,256.06,252.79,254.19,2817400
2019-05-31,251.98,253.66,250.84,251.49,5041400
2019-06-03,251.8,252.98,240.25,242.26,5452100
2019-06-04,245.13,249.37,241.72,249.18,4862200
2019-06-05,251.47,256.97,250.15,256.26,4742400
2019-06-06,256.36,258.7,254.86,257.83,3443500
2019-06-07,260,266.87,259.62,265.8,3691800
2019-06-10,269,269.85,265.28,266.1,4469000
2019-06-11,267.47,267.89,259.18,263.66,3119600
2019-06-12,262.45,264.21,261.36,263.85,2295300
2019-06-13,265,265.23,260.25,261.2,4331000
2019-06-14,259.99,261.98,259.42,260.1,3158200
2019-06-17,261,261.71,258.05,259.2,3332200
2019-06-18,261.7,262.25,255.07,258.81,3921300
2019-06-19,258.83,260.62,258.3,259.87,4326500
2019-06-20,263.49,267.7,262.5,266.79,4667300
2019-06-21,265.82,268.15,264.42,264.47,4285800
2019-06-24,265.85,267.1,265.13,265.3,2538100
2019-06-25,266.04,266.31,259.12,259.73,3138000
2019-06-26,260.88,262.65,259.99,261.3,3869400
2019-06-27,262.44,263.58,260.4,261.1,2186900
2019-06-28,263.09,264.84,261.33,264.53,4400300
2019-07-01,269.99,269.99,264.87,266.77,2646800
2019-07-02,266.88,270.6,266.43,270.57,2649100
2019-07-03,271,273.08,270.78,273.08,1896800
2019-07-05,271.5,272.77,269.09,272.14,2561000
2019-07-08,270.1,272.07,269.46,271.23,2291700
2019-07-09,269.82,273.65,269.5,273.34,2477400
2019-07-10,274.17,277.1,274.15,275.38,2323000
2019-07-11,277.6,278.65,276.08,278.32,2583900
2019-07-12,279.24,279.74,276.26,279.54,2299700
2019-07-15,280.46,280.59,278.55,279.37,3349500
2019-07-16,279,280.63,275.31,276.62,2976000
2019-07-17,277.39,278.47,275.27,275.28,2318900
2019-07-18,275,277.25,274.74,276.78,3241000
2019-07-19,279.43,279.48,275.42,275.6,3048200
2019-07-22,276.91,279.36,276.07,278.61,2092400
2019-07-23,280,280.42,276.9,278.97,2275400
2019-07-24,278.17,280.3,276.38,280.25,2805200
2019-07-25,280,280.9,277.55,279.35,2312200
2019-07-26,280.6,282.29,280.08,282.07,2942100
2019-07-29,283.12,283.33,280.43,281.44,3677700
2019-07-30,279.34,282.37,275.45,278.16,3957900
2019-07-31,278.67,278.98,265.69,272.27,5513100
2019-08-01,273.93,279.31,271.64,274.16,4988100
2019-08-02,272,272.5,265.68,269.45,4438000
2019-08-05,260,262.65,253.9,256.84,6861300
2019-08-06,261.8,265.15,260.18,264.68,4918500
2019-08-07,263.4,270,260.25,269.31,4476000
2019-08-08,272,278.08,271.6,278.04,4135500
2019-08-09,275.51,276.9,273.08,274.95,3410500
2019-08-12,272.85,274.98,268.89,270,3322600
2019-08-13,269.83,275.37,268,274.53,3899800
2019-08-14,269.82,272.47,265.85,267.15,3750300
2019-08-15,269.28,273.15,268.09,271.89,3364300
2019-08-16,274.98,275.96,273.79,274.36,2718100
2019-08-19,277,278.57,275.21,278.07,2502300
2019-08-20,278.4,279.56,275.85,277.04,2583600
2019-08-21,279.64,282.1,279.29,282.01,2492200
2019-08-22,282.11,282.89,276.76,280.77,2975800
2019-08-23,280,282.09,270.21,271.89,4415000
2019-08-26,274.88,276.43,272.98,276.43,2184400
2019-08-27,276.74,279.09,274.91,276.64,2169400
2019-08-28,275.23,278.65,273.37,278.24,2306900
2019-08-29,281,281.98,278.88,281.38,2297200
2019-08-30,282.59,282.96,278.73,281.37,2600300
2019-09-03,279.99,282.84,278.5,280.11,2350800
2019-09-04,282.77,286.21,282.15,286.1,2631000
2019-09-05,290.29,293.46,289.6,292.08,3808300
2019-09-06,291.94,293.07,290.05,291.38,2783300
2019-09-09,293.49,293.69,280.1,283.36,4795900
2019-09-10,281.34,281.5,270.34,272.33,8683800
2019-09-11,274.92,276,269.2,269.95,6342300
2019-09-12,273.39,278.77,273.19,276.4,5497900
2019-09-13,277.99,278.15,273.04,276.32,4631100
2019-09-16,273.47,275.76,272.71,274.08,2755100
2019-09-17,274.55,278.63,273.95,276.25,2929500
2019-09-18,276.77,276.85,270.44,275.1,2975900
2019-09-19,275.96,278.15,274.85,275.91,2623800
2019-09-20,277.79,278.59,270.91,271.17,5540800
2019-09-23,270.3,273.74,270,273.15,3092000
