Date,Open,High,Low,Close,Volume
2025-01-02,66.07,66.74,65.425,65.93,561800
2025-01-03,65.93,67.33,65.625,67.12,747300
2025-01-06,67.12,68.55,66.98,68.47,1002000
2025-01-07,68.58,69.75,68.38,69.41,840700
2025-01-08,69.18,71.85,67.69,68.96,2731900
2025-01-10,68.98,70,66.92,67.07,1166300
2025-01-13,66.77,68.57,66.222,68.51,780900
2025-01-14,68.53,70.385,68.51,70.19,717600
2025-01-15,70.5,72.58,70.44,72.03,1320000
2025-01-16,71.95,72.93,71.37,72.69,739200
2025-01-17,73.1,73.67,71.95,73.51,1514800
2025-01-21,73.695,74.34,72.6,74.02,1071000
2025-01-22,73.79,74.25,73.1,73.66,1334500
2025-01-23,73.66,73.83,72.89,73.6,723700
2025-01-24,73.24,74.99,73.24,74.99,1142500
2025-01-27,75,76.8,73.98,75.14,983500
2025-01-28,75.78,76.29,74.65,74.88,698000
2025-01-29,74.88,75.365,73.88,74.5,668100
2025-01-30,75.32,75.84,74.25,75.3,540900
2025-01-31,75.41,75.59,74.04,74.06,1092000
2025-02-03,73.25,74.319,72.27,73.58,995800
2025-02-04,73.59,74.94,73.59,74.61,644300
2025-02-05,75,75,74.184,74.79,451700
2025-02-06,75.12,76.455,74.46,74.78,934500
2025-02-07,74.78,74.99,72.851,73.38,859500
2025-02-10,73.72,74.8,73.219,74.31,626100
2025-02-11,74,75.07,73.54,73.65,550200
2025-02-12,73.07,73.8,72.709,73.68,459900
2025-02-13,73.85,74.365,72.94,74.31,595900
2025-02-14,74.74,74.93,73.83,74.24,1081400
2025-02-18,73.89,74.795,73.61,74.34,955200
2025-02-19,73.7,75.192,73.7,73.98,610700
2025-02-20,74.1,74.9,73.8,74.5,602100
2025-02-21,74.47,74.72,72.41,73.02,570700
2025-02-24,73.02,76.34,73.02,76.28,1266600
2025-02-25,78.97,84.97,77.91,83.56,3207000
2025-02-26,83.5,85.92,83.02,84.04,1724700
2025-02-27,83.65,84.7,83.25,83.44,1500900
2025-02-28,80.95,82.81,77.95,79.75,2036200
2025-03-03,79.76,81.93,78.41,80.16,1079500
2025-03-04,80.25,80.76,78.79,78.99,1156800
2025-03-05,78.8,79.75,77.03,77.83,1072400
2025-03-06,77.18,77.47,74.77,75.74,1066200
2025-03-07,75.11,78.49,74.6,77.93,1219200
2025-03-10,77.43,80.23,77.08,77.64,1604100
2025-03-11,77.66,77.825,74.91,75.89,1267200
2025-03-12,75.79,76.18,73.48,74.01,1174800
2025-03-13,74.1,75,72.27,72.3,936500
2025-03-14,73.04,74.92,72.64,74.16,1142900
2025-03-17,73.52,75.67,73.19,75.15,852700
2025-03-18,74.89,76,74.21,75.3,706900
2025-03-19,75.22,76.97,74.92,76.31,879700
2025-03-20,77.98,80.26,74.62,74.99,1915100
2025-03-21,74.55,74.9,72.57,73.97,1920300
2025-03-24,74.48,75.32,73.57,74.2,1110500
2025-03-25,73.71,75.04,73.52,74.93,1083700
2025-03-26,74.66,75.239,73.246,74.24,1900400
2025-03-27,74.57,75.85,74.164,75.51,859400
2025-03-28,75.09,75.41,74.54,74.75,1933200
2025-03-31,74.61,76.17,74.065,76.04,1269400
2025-04-01,75.63,76.515,74.88,76.34,1683400
2025-04-02,76.13,77.75,75.85,76.62,1370000
2025-04-03,74.73,74.73,70.03,70.19,3105000
2025-04-04,68.49,69.145,65.73,66.2,1873200
2025-04-07,64.51,66.98,62.14,65.32,2859800
2025-04-08,67.32,68.13,62.215,63.01,1346800
2025-04-09,62.11,69.29,60.7,68.58,2305800
2025-04-10,67.25,68.17,63.51,65.17,1136700
2025-04-11,65.67,66.516,63.695,66.19,1035800
2025-04-14,67.14,68.08,66.26,67.8,930900
2025-04-15,67.8,68,65.37,65.93,892600
2025-04-16,66.07,66.575,65.01,65.67,650100
2025-04-17,65.7,67.22,65.46,66.26,910300
2025-04-21,65.68,66,63.114,63.94,786300
2025-04-22,64.91,65.39,64.04,64.94,609900
2025-04-23,66.7,68.29,65.54,65.9,639800
2025-04-24,66.3,67.67,65.836,67.53,750900
2025-04-25,66.9,67.35,65.73,66.07,672800
2025-04-28,66.13,66.67,65.34,66.07,837600
2025-04-29,66,66.7,65.42,66.25,729200
2025-04-30,65.68,66.31,64.59,66.12,1059800
2025-05-01,66.25,66.465,65.09,65.62,899300
2025-05-02,67,67.89,66.37,67.62,990200
2025-05-05,67.32,67.89,66.83,66.89,925200
2025-05-06,66.2,66.465,64.89,65.47,1144900
2025-05-07,65.57,66.25,64.9,65.49,875600
2025-05-08,66.48,67.76,66.11,66.63,1228400
2025-05-09,67.96,71.085,66.91,70.23,1823600
2025-05-12,71.56,75.71,71.07,74.8,1529100
2025-05-13,74.63,74.905,73.41,73.52,1230200
2025-05-14,73,73.115,70.08,71.14,1400600
2025-05-15,71.14,73.045,70.52,72.94,1237800
2025-05-16,72.86,74.195,72.28,74.11,824000
2025-05-19,74.75,75.97,74.26,75.77,1141700
2025-05-20,75.5,75.52,74.24,74.7,821600
2025-05-21,73.23,73.68,71.57,72.76,2551100
2025-05-22,72.49,72.96,71.31,72.66,1095900
2025-05-23,71.92,72.4,70.41,70.81,1119800
2025-05-27,72.2,72.58,71.21,72.53,794900
2025-05-28,72.5,72.8,71.84,72.63,991100
2025-05-29,73.08,73.29,71.66,72.61,970100
2025-05-30,71.93,73.513,71.345,73.09,4073000
2025-06-02,73.19,73.69,71.94,73.12,961000
2025-06-03,73,74.51,72.408,74.26,1135800
2025-06-04,74.61,75.51,74.2,75.14,806000
2025-06-05,75.41,75.84,74.67,75.37,784100
2025-06-06,75.9,76.03,74.55,74.84,717100
2025-06-09,75.13,75.51,74.15,74.92,1091200
2025-06-10,74.64,76.38,74.456,75.55,922000
2025-06-11,75.75,75.75,74.12,74.41,776300
2025-06-12,74.2,74.29,73.63,74.29,649300
2025-06-13,73.35,74.66,73.11,73.8,599700
2025-06-16,73.97,74.64,73.595,74.45,656800
2025-06-17,73.85,73.955,72.065,72.76,733300
2025-06-18,72.75,73.335,72.17,72.63,683800
2025-06-20,73.1,73.8,72.83,73.57,1158100
2025-06-23,73.55,73.77,71.845,73.25,878500
2025-06-24,73.58,75.13,72.855,74.98,848600
2025-06-25,74.97,75.095,74.195,74.95,554000
2025-06-26,74.92,75.68,74.28,74.63,617600
2025-06-27,74.63,75.49,74.2,75.46,1038900
2025-06-30,75.38,76.089,74.75,75.84,755700
2025-07-01,76.73,78.86,76.34,77.89,1066500
2025-07-02,77.37,78.43,77.25,78.25,1166500
2025-07-03,78.16,78.855,77.824,78.5,474300
2025-07-07,78.39,78.855,76.16,76.24,924000
2025-07-08,76.03,76.705,74.83,75.08,1032600
2025-07-09,75.32,75.32,73.87,74.19,580600
2025-07-10,74.3,75.9,73.906,75.88,766500
2025-07-11,75.18,75.21,73.412,73.8,715900
2025-07-14,73.58,74.34,73.27,74.07,556900
2025-07-15,76.22,76.33,73.57,73.68,768500
2025-07-16,73.75,73.75,71.98,73.03,530900
2025-07-17,73.16,74.055,73.05,73.86,424500
2025-07-18,74.29,74.66,72.98,73.28,584200
2025-07-21,73.24,73.395,72.3,72.34,436600
2025-07-22,72.58,73.3,72.11,72.92,550600
2025-07-23,73.7,74.69,73.272,74.4,507300
2025-07-24,74.3,74.9,73.62,73.93,449100
2025-07-25,73.84,74.91,73.605,74.75,453300
2025-07-28,74.76,74.76,73.655,73.77,399500
2025-07-29,73.8,74.2,73.25,73.55,365500
2025-07-30,73.36,73.9,72.52,72.98,450100
2025-07-31,72.06,73.03,71.14,71.36,708000
2025-08-01,71.08,72.33,70.63,71.73,780700
2025-08-04,71.92,73.46,71.92,73.22,849500
2025-08-05,73.5,73.52,72.055,72.43,870000
2025-08-06,72.9,73,71.445,72.57,879300
2025-08-07,73.57,73.89,71.65,71.95,1318600
2025-08-08,74.38,74.977,72.88,73.39,1758100
2025-08-11,73.17,74.21,71.4,71.86,788200
2025-08-12,71.94,72.4,71.34,72.09,735300
2025-08-13,72.5,74.44,72.12,74.38,854400
2025-08-14,74.89,74.98,72.24,73.2,4879000
2025-08-15,73.4,73.54,71.37,71.42,3952400
2025-08-18,70.79,71.79,70.65,70.76,2019200
2025-08-19,70.65,72.297,70.275,72.27,1156700
2025-08-20,71.78,72.89,71.62,72.85,1110200
2025-08-21,72.2,72.8,71.835,72,599400
2025-08-22,72.62,74.173,72.01,73.55,1018500
2025-08-25,73.5,73.5,72.58,72.75,663200
2025-08-26,72.9,72.99,72.28,72.92,1072400
2025-08-27,72.78,73.41,72.2,72.89,868400
2025-08-28,72.62,72.855,71.65,72.66,1036900
2025-08-29,72.83,73.3,72.625,73.09,821200
2025-09-02,72.33,72.413,70.94,71.82,1020800
2025-09-03,71.48,71.63,70.56,71.4,804300
2025-09-04,71.59,72.48,70.535,72.38,794100
2025-09-05,72.57,73.49,72.43,72.72,682800
2025-09-08,72.53,75.6,72.278,74.6,1507900
2025-09-09,74.1,74.48,72.865,72.9,930100
2025-09-10,72.54,73.175,71.145,71.22,1006600
2025-09-11,71.01,73.965,71.01,73.79,1425900
2025-09-12,73.48,74.49,73.025,73.39,1572400
2025-09-15,73.33,74.07,72.91,73.21,1563400
2025-09-16,73.28,74.35,73.105,74.13,1008100
2025-09-17,74.23,75.5,73.8,74.07,1712900
2025-09-18,74.22,75.085,74.13,74.37,918600
2025-09-19,74.62,74.75,73.68,73.72,1491900
2025-09-22,73.13,74.349,73.13,73.76,1484200
2025-09-23,73.68,74.22,73.06,73.39,787600
2025-09-24,73.12,73.23,71.535,71.82,827700
2025-09-25,71.07,71.42,69.36,70.46,1279100
2025-09-26,70.88,71.878,70.346,71.37,934200
2025-09-29,71.87,72.48,71.09,72.21,1176200
2025-09-30,72.21,73.17,71.8,73,903100
2025-10-01,71.87,73.21,71.74,73.04,1399900
2025-10-02,72.91,74.63,72.725,74.6,886800
2025-10-03,75,75.5,73.95,74,793600
2025-10-06,74.09,74.5,73.31,73.78,1030000
2025-10-07,73.96,74.1,72.05,72.16,1662200
2025-10-08,72,73,71.7,72.43,830400
2025-10-09,72.22,72.53,71.22,71.8,1019700
2025-10-10,71.84,72.09,70.26,70.52,1256400
2025-10-13,70.98,71.597,70.45,70.88,1678900
2025-10-14,70.4,71.61,70.4,71.49,954900
2025-10-15,71.6,72.62,70.86,71.56,653800
2025-10-16,71.62,71.85,70.903,71.44,897300
2025-10-17,71.67,72.295,71.24,72.16,587000
2025-10-20,72.44,73.25,72.15,72.87,479200
2025-10-21,72.73,73.45,72.14,72.91,609400
2025-10-22,72.78,73.71,72.429,72.76,650400
2025-10-23,72.66,73,71.48,72.27,692400
2025-10-24,72.84,72.84,71.4,71.44,811800
2025-10-27,71.58,72.21,71.47,71.98,729400
2025-10-28,71.65,71.93,70.825,70.92,446900
2025-10-29,70.64,70.76,69.25,69.78,815800
2025-10-30,69.67,70.68,69.14,69.28,569000
2025-10-31,68.89,69.919,68.039,69.04,836700
2025-11-03,68.56,68.77,67.42,68.12,1290100
2025-11-04,68.44,69.01,67.98,68.59,1348800
2025-11-05,68.31,68.39,67.1,67.69,1204900
2025-11-06,67.47,68.31,66.11,66.28,1791800
2025-11-07,68.62,71.58,66.8,71.52,1739200
2025-11-10,71.25,72.243,70.06,71.79,1203600
2025-11-11,72.33,73.92,72.215,73.88,919100
2025-11-12,73.91,74.71,73.39,73.83,1003200
2025-11-13,73.51,75.98,73.05,75.22,1341100
2025-11-14,75.07,76.17,74.68,75.66,1053800
2025-11-17,75.23,76.49,74.995,76.19,1248500
2025-11-18,75.79,77.25,75.255,76.89,1355900
2025-11-19,76.815,77.92,76.59,77.31,888900
2025-11-20,78.15,81.635,78,79.51,1879600
2025-11-21,80.09,83.53,79.83,82.9,1314600
2025-11-24,82.72,83.97,82.53,83.38,1532500
2025-11-25,83.99,86.28,83.72,85.77,1216400
2025-11-26,85.77,86.81,85.251,85.27,988100
2025-11-28,85.55,86.142,85.12,85.26,628300
2025-12-01,85,86.13,84.29,85.56,1180500
2025-12-02,87.3,88.2,85.57,85.59,1209700
2025-12-03,85.74,86.18,84.6,85.25,1176500
2025-12-04,85.16,85.635,84.66,85.26,929700
2025-12-05,84.72,85.885,84.625,85.43,1119300
2025-12-08,85.33,85.33,82.46,82.6,1589400
2025-12-09,82.62,82.97,80,80.11,1053000
2025-12-10,80.22,82.27,80.14,81.9,916600
2025-12-11,81.97,83.02,81.763,82.79,802300
2025-12-12,83.11,83.55,82.205,82.98,792000
2025-12-15,83.65,84,81.37,81.89,1174100
2025-12-16,82.11,82.31,80.25,80.59,1056100
2025-12-17,80.31,81.48,79.76,79.95,1580000
2025-12-18,80.35,81.22,80.14,80.68,1378400
2025-12-19,80.8,81.68,80.54,81.59,3276500
2025-12-22,81.28,81.586,80.54,80.78,801500
2025-12-23,80.86,80.99,80.255,80.55,752800
2025-12-24,80.46,80.7,80.01,80.18,398100
2025-12-26,80.25,80.56,79.862,80.46,502400
2025-12-29,80.52,80.97,79.99,80.09,575200
2025-12-30,79.91,80.62,79.5,80.16,497800
2025-12-31,80.09,80.32,79.15,79.24,598500
