Date,Open,High,Low,Close,Volume
2017-01-03,73.53,74.31,73.05,73.58,4847900
2017-01-04,73.65,73.97,73.25,73.49,4507100
2017-01-05,73.29,73.7,72.89,72.92,4301100
2017-01-06,72.88,74.28,72.47,74.15,5244600
2017-01-09,74.51,75.22,74.17,74.34,4782900
2017-01-10,74.62,74.83,74.06,74.6,3712500
2017-01-11,74.64,75.2,74.46,75.2,4361400
2017-01-12,75,75.14,74.09,74.85,4408200
2017-01-13,74.83,75.3,74.73,75,3372500
2017-01-17,74.67,74.95,74.29,74.49,4413100
2017-01-18,74.73,74.84,74.25,74.38,5531400
2017-01-19,74.22,74.81,73.87,73.88,4468500
2017-01-20,74.16,74.89,74.16,74.75,6661400
2017-01-23,74.8,75.74,74.64,75.73,6895100
2017-01-24,76.19,77.32,75.91,77.08,8561600
2017-01-25,77.72,78.72,77.19,78.58,8112800
2017-01-26,78.02,79.47,78.01,79.26,8991500
2017-01-27,79.06,79.45,77.74,78.03,9737300
2017-01-30,77.52,78.08,77.35,77.9,8355200
2017-01-31,77.4,77.54,75.25,75.54,11129400
2017-02-01,76.06,76.87,75.86,76.27,7815800
2017-02-02,75.61,76.1,75.34,75.89,4434500
2017-02-03,76.29,76.56,76.03,76.5,4547000
2017-02-06,76.38,76.47,75.85,76.22,4633000
2017-02-07,76.37,76.75,76.04,76.18,4500900
2017-02-08,76.49,76.55,75.92,75.95,5864700
2017-02-09,76.3,76.35,75.27,75.3,6950500
2017-02-10,75.62,75.66,74.52,75.16,6289400
2017-02-13,75.53,75.74,75.39,75.52,5466200
2017-02-14,75.46,75.64,75.3,75.64,3999800
2017-02-15,75.65,75.81,74.93,75.67,5731500
2017-02-16,75.8,76.32,75.52,76.25,4882000
2017-02-17,76.11,76.44,75.66,76.44,3955300
2017-02-21,76.79,77.13,76.59,77.08,5104700
2017-02-22,77.2,77.28,76.8,77.23,4056600
2017-02-23,77.23,77.38,76.69,77.14,4921700
2017-02-24,76.94,77.24,76.4,77.24,3516600
2017-02-27,77.31,77.34,76.76,77.19,3055400
2017-02-28,77.06,77.17,76.46,76.62,4770500
2017-03-01,77.13,78.18,76.68,78.15,5332500
2017-03-02,78.36,78.76,77.94,78.08,7605500
2017-03-03,78.2,78.2,77.46,77.86,3994800
2017-03-06,77.69,78.46,77.4,78.31,4066400
2017-03-07,78.35,80.37,78.21,79.12,10556800
2017-03-08,79.44,79.94,79.16,79.34,5386500
2017-03-09,79.49,79.79,78.8,79.13,4255400
2017-03-10,79.72,80.63,79.3,80.33,5118200
2017-03-13,80.32,81.09,80.18,81.02,6082600
2017-03-14,80.95,81.21,80.62,81.09,4271400
2017-03-15,81.42,81.95,80.96,81.82,3668800
2017-03-16,81.99,82.18,81.38,81.71,4195600
