Date,Open,High,Low,Close,Volume
2019-01-02,82.38,86.2,82.24,85.75,10146200
2019-01-03,84.36,84.75,81.91,82.09,9650700
2019-01-04,83.71,86.91,83.37,86.27,9234800
2019-01-07,86.42,87.55,86.02,86.93,11094100
2019-01-08,88.11,88.895,87.69,88.7,8307600
2019-01-09,88.81,90.315,88.5,89.55,9578300
2019-01-10,89.1,90.79,87.918,90.7,7478100
2019-01-11,90.11,91.144,90.1,90.65,7398200
2019-01-14,89.96,90.81,89.55,90.43,6084700
2019-01-15,90.64,91.91,90.19,91.6,10377900
2019-01-16,91.72,92.35,90.21,90.55,8475000
2019-01-17,90.25,90.87,89.81,90.4,10254500
2019-01-18,91.35,91.44,89.78,91.12,11958400
2019-01-22,90.33,90.97,89.09,89.94,7890300
2019-01-23,90.74,91.17,89.57,90.5,5595700
2019-01-24,90.67,92.99,90.55,92.2,9749100
2019-01-25,93.05,94.58,92.69,94.28,11664300
2019-01-28,93.3,93.42,90.69,92.3,7361100
2019-01-29,92.33,92.85,90.57,91.12,6399900
2019-01-30,92.02,93.34,90.9,92.42,11622800
2019-01-31,89.02,90.09,86.62,88.76,23729900
2019-02-01,88.36,90.5,88.25,90.01,10514600
2019-02-04,89.88,92.12,89.71,91.66,7084500
2019-02-05,91.91,92.35,91.36,92.27,5591300
2019-02-06,90.8,92.29,90.19,92.25,5939400
2019-02-07,91.11,91.71,90.01,90.85,7283800
2019-02-08,90.02,91.91,90,91.87,7642100
2019-02-11,92.25,93.75,92.15,92.69,6455900
2019-02-12,93.44,94.51,93.2,94.38,7497000
2019-02-13,94.59,96.04,93.844,94.01,8577900
2019-02-14,93.65,94.99,93.1,94.42,6579200
2019-02-15,95,95.43,94.45,94.91,6080200
2019-02-19,94.45,95.3,94.06,95.02,8092400
2019-02-20,95,95.72,93.98,94.73,8154100
2019-02-21,94.72,95.51,94.33,94.96,6410000
2019-02-22,95.24,96,95.07,95.98,4898000
2019-02-25,96.07,97.304,96,96.7,7470700
2019-02-26,96.34,96.82,95.53,96.59,5906400
2019-02-27,96.11,98.04,95.93,97.86,5565400
2019-02-28,97.66,98.525,97.08,98.07,6151800
2019-03-01,98.92,99.45,98.34,98.8,5434000
2019-03-04,98.03,98.5,95.34,96.57,7855800
2019-03-05,96.65,97.14,96.15,96.53,6321900
2019-03-06,96.52,97.28,95.91,96.46,3226500
2019-03-07,96.17,96.75,95.3,96.21,6170100
2019-03-08,95.04,95.77,94.51,95.69,4577700
2019-03-11,96.01,97.57,95.954,97.45,5387500
2019-03-12,98,98.08,96.9,97.5,5624500
2019-03-13,98.2,100.59,98.14,99.31,9356600
2019-03-14,99.46,99.67,98.93,99.03,5414700
2019-03-15,99.4,101.26,99.33,100.73,10960900
2019-03-18,101.21,101.83,99.37,100.27,6454000
2019-03-19,100.6,101.685,100.6,101.54,6965100
2019-03-20,101.45,103.05,100.84,102.31,6462900
2019-03-21,102.15,104.56,102.085,104.15,7216700
2019-03-22,103.87,104,101.25,101.27,7195000
2019-03-25,100.94,102.18,100.51,101.55,5117700
2019-03-26,102.34,103.285,101.75,103.15,4498000
2019-03-27,103.2,104.17,101.74,103.07,5450200
2019-03-28,103.45,104.01,102.67,103.86,4459900
2019-03-29,104.52,104.7,103.46,103.84,5625500
2019-04-01,104.99,105.76,103.85,105.55,6157200
2019-04-02,105.76,105.76,104.66,105.23,4177400
